State,AgeBin,IncomeBin,Count
NSW,15-24,Negative/Nil to $649,621989
NSW,15-24,"$650-$1,499",236757
NSW,15-24,"$1,500-$2,999",27673
NSW,15-24,"$3,000 and above",2013
NSW,25-44,Negative/Nil to $649,484639
NSW,25-44,"$650-$1,499",827601
NSW,25-44,"$1,500-$2,999",618302
NSW,25-44,"$3,000 and above",158561
NSW,45-64,Negative/Nil to $649,589425
NSW,45-64,"$650-$1,499",633613
NSW,45-64,"$1,500-$2,999",457673
NSW,45-64,"$3,000 and above",181397
NSW,65-84,Negative/Nil to $649,764527
NSW,65-84,"$650-$1,499",268816
NSW,65-84,"$1,500-$2,999",80180
NSW,65-84,"$3,000 and above",29045
NSW,85 years and over,Negative/Nil to $649,115024
NSW,85 years and over,"$650-$1,499",22620
NSW,85 years and over,"$1,500-$2,999",5021
NSW,85 years and over,"$3,000 and above",2237
VIC,15-24,Negative/Nil to $649,533335
VIC,15-24,"$650-$1,499",172467
VIC,15-24,"$1,500-$2,999",16856
VIC,15-24,"$3,000 and above",1582
VIC,25-44,Negative/Nil to $649,429490
VIC,25-44,"$650-$1,499",733379
VIC,25-44,"$1,500-$2,999",503358
VIC,25-44,"$3,000 and above",107822
VIC,45-64,Negative/Nil to $649,469411
VIC,45-64,"$650-$1,499",520893
VIC,45-64,"$1,500-$2,999",361784
VIC,45-64,"$3,000 and above",131369
VIC,65-84,Negative/Nil to $649,589948
VIC,65-84,"$650-$1,499",207495
VIC,65-84,"$1,500-$2,999",58049
VIC,65-84,"$3,000 and above",20610
VIC,85 years and over,Negative/Nil to $649,92195
VIC,85 years and over,"$650-$1,499",17970
VIC,85 years and over,"$1,500-$2,999",3879
VIC,85 years and over,"$3,000 and above",1709
QLD,15-24,Negative/Nil to $649,405570
QLD,15-24,"$650-$1,499",163063
QLD,15-24,"$1,500-$2,999",18518
QLD,15-24,"$3,000 and above",1410
QLD,25-44,Negative/Nil to $649,308802
QLD,25-44,"$650-$1,499",556988
QLD,25-44,"$1,500-$2,999",347152
QLD,25-44,"$3,000 and above",66124
QLD,45-64,Negative/Nil to $649,374956
QLD,45-64,"$650-$1,499",436572
QLD,45-64,"$1,500-$2,999",301926
QLD,45-64,"$3,000 and above",88027
QLD,65-84,Negative/Nil to $649,496841
QLD,65-84,"$650-$1,499",163095
QLD,65-84,"$1,500-$2,999",41647
QLD,65-84,"$3,000 and above",13515
QLD,85 years and over,Negative/Nil to $649,62585
QLD,85 years and over,"$650-$1,499",11901
QLD,85 years and over,"$1,500-$2,999",2277
QLD,85 years and over,"$3,000 and above",911
WA,15-24,Negative/Nil to $649,204858
WA,15-24,"$650-$1,499",71385
WA,15-24,"$1,500-$2,999",12701
WA,15-24,"$3,000 and above",1051
WA,25-44,Negative/Nil to $649,171736
WA,25-44,"$650-$1,499",258381
WA,25-44,"$1,500-$2,999",208617
WA,25-44,"$3,000 and above",53225
WA,45-64,Negative/Nil to $649,178679
WA,45-64,"$650-$1,499",198951
WA,45-64,"$1,500-$2,999",175101
WA,45-64,"$3,000 and above",63276
WA,65-84,Negative/Nil to $649,234342
WA,65-84,"$650-$1,499",81714
WA,65-84,"$1,500-$2,999",25131
WA,65-84,"$3,000 and above",8918
WA,85 years and over,Negative/Nil to $649,31438
WA,85 years and over,"$650-$1,499",7001
WA,85 years and over,"$1,500-$2,999",1298
WA,85 years and over,"$3,000 and above",497
SA,15-24,Negative/Nil to $649,144194
SA,15-24,"$650-$1,499",47796
SA,15-24,"$1,500-$2,999",4447
SA,15-24,"$3,000 and above",462
SA,25-44,Negative/Nil to $649,116257
SA,25-44,"$650-$1,499",197610
SA,25-44,"$1,500-$2,999",106453
SA,25-44,"$3,000 and above",16008
SA,45-64,Negative/Nil to $649,143709
SA,45-64,"$650-$1,499",161102
SA,45-64,"$1,500-$2,999",99174
SA,45-64,"$3,000 and above",24892
