Year,State,TurnoutPct
2010,ACT,94.63
2010,NSW,93.33
2010,NT,82.67
2010,QLD,92.73
2010,SA,93.83
2010,TAS,95.07
2010,VIC,93.49
2010,WA,92.84
2013,ACT,94.64
2013,NSW,93.3
2013,NT,82.22
2013,QLD,93.55
2013,SA,93.46
2013,TAS,94.73
2013,VIC,93.4
2013,WA,92.07
2016,ACT,92.16
2016,NSW,91.49
2016,NT,79.01
2016,QLD,91.17
2016,SA,91.81
2016,TAS,93.59
2016,VIC,91.14
2016,WA,88.38
2019,ACT,93.15
2019,NSW,92.16
2019,NT,77.94
2019,QLD,91.22
2019,SA,93.07
2019,TAS,94.34
2019,VIC,92.62
2019,WA,90.05
2022,ACT,92.07
2022,NSW,90.7
2022,NT,73.08
2022,QLD,88.16
2022,SA,91.07
2022,TAS,92.43
2022,VIC,90.59
2022,WA,87.99
